# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DirectByteBufferAllocator.disposed,1779836300495000000,1779836360560000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1779836300495000000,1779836360560000000,300941312
FilePageCache.totalPageDisposalsUs,1779836300495000000,1779836360560000000,18928
FilePageCache.pageHits,1779836300495000000,1779836360560000000,317770
MappedFileStorage.totalPagesMapped,1779836300495000000,1779836360560000000,14
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1779836300495000000,1779836360560000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1779836300495000000,1779836360560000000,0
DirectByteBufferAllocator.reclaimed,1779836300495000000,1779836360560000000,3
StreamlinedBlobStorage.recordsAllocated,1779836300495000000,1779836360560000000,32230
FilePageCache.disposedBuffers,1779836300495000000,1779836360560000000,3
MappedFileStorage.totalTimeSpentOnMappingUs,1779836300495000000,1779836360560000000,388023
StreamlinedBlobStorage.recordsDeleted,1779836300495000000,1779836360560000000,3
StorageLockContext.competingThreads.avg,1779836300495000000,1779836360560000000,0.0
FilePageCache.maxRegisteredFiles,1779836300495000000,1779836360560000000,436
FilePageCache.uncachedFileAccess,1779836300495000000,1779836360560000000,569
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1779836300495000000,1779836360560000000,447814
MappedFileStorage.storages,1779836300495000000,1779836360560000000,14
FilePageCache.pageFastCacheHits,1779836300495000000,1779836360560000000,5145486
MappedFileStorage.totalBytesMapped,1779836300495000000,1779836360560000000,194248704
FilePageCache.maxCacheSizeInBytes,1779836300495000000,1779836360560000000,300941312
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1779836300495000000,1779836360560000000,2300305
DirectByteBufferAllocator.misses,1779836300495000000,1779836360560000000,287
FilePageCache.totalPageLoadsUs,1779836300495000000,1779836360560000000,647710
FilePageCache.pageLoads,1779836300495000000,1779836360560000000,290
StorageLockContext.competingThreads.max,1779836300495000000,1779836360560000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1779836300495000000,1779836360560000000,0
DirectByteBufferAllocator.hits,1779836300495000000,1779836360560000000,3
StreamlinedBlobStorage.recordsRelocated,1779836300495000000,1779836360560000000,0
StorageLockContext.competingThreads.90P,1779836300495000000,1779836360560000000,0
FilePageCache.capacityInBytes,1779836300495000000,1779836360560000000,629145600
VFS.invertedFileNameIndex.requests,1779836300495000000,1779836360560000000,0
VFS.fileChildByName,1779836300495000000,1779836360560000000,14884
VFS.contentStorage.recordsStored,1779836300495000000,1779836360560000000,4
VFS.contentStorage.recordsUncompressedSize,1779836300495000000,1779836360560000000,28578
VFS.contentStorage.recordsDecompressionTimeUs,1779836300495000000,1779836360560000000,0
FileNameCache.totalMisses,1779836300495000000,1779836360560000000,58240
VFS.contentStorage.recordsDeduplicated,1779836300495000000,1779836360560000000,0
VFS.cache.segments,1779836300495000000,1779836360560000000,174.0
VFS.contentStorage.recordsRead,1779836300495000000,1779836360560000000,8
VFS.contentStorage.recordsReadDecompressed,1779836300495000000,1779836360560000000,0
VFS.cache.directoriesCreated,1779836300495000000,1779836360560000000,4979
VFS.rootsCount,1779836300495000000,1779836360560000000,65.0
VFS.folderCaseSensitivityReads,1779836300495000000,1779836360560000000,95
VFS.contentStorage.recordsReadSize,1779836300495000000,1779836360560000000,23826
VFS.contentStorage.recordsStoredSize,1779836300495000000,1779836360560000000,6227
VFS.contentStorage.recordsStoredCompressed,1779836300495000000,1779836360560000000,1
VFS.fileByIdCache.misses,1779836300495000000,1779836360560000000,3
FileNameCache.queries,1779836300495000000,1779836360560000000,3805440
VFS.cache.filesCreated,1779836300495000000,1779836360560000000,263048
VFS.cache.segmentsCreated,1779836300495000000,1779836360560000000,176
VFS.fileByIdCache.hits,1779836300495000000,1779836360560000000,5
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1779836300495000000,1779836360560000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1779836300495000000,1779836360560000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1779836300495000000,1779836360560000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1779836300495000000,1779836360560000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1779836300495000000,1779836360560000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1779836300495000000,1779836360560000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1779836300495000000,1779836360560000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1779836300495000000,1779836360560000000,0
compiler.ArtifactManagerBridge.commit.ms,1779836300495000000,1779836360560000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1779836300495000000,1779836360560000000,1297
Indexes.entries.lookups,1779836300495000000,1779836360560000000,3
Indexing.cache.totalCacheMisses,1779836300495000000,1779836360560000000,1974208
Indexes.entries.lookupDurationAvgMs,1779836300495000000,1779836360560000000,0.0
Indexing.cache.totalCacheEvicted,1779836300495000000,1779836360560000000,1974208
Indexing.writesQueuedMax,1779836300495000000,1779836360560000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1779836300495000000,1779836360560000000,13304
Indexing.writer_2.totalTimeSpentWritingMs,1779836300495000000,1779836360560000000,12759
Indexing.cache.totalCacheAccesses,1779836300495000000,1779836360560000000,9143544
Indexing.writer_0.totalTimeSpentWritingMs,1779836300495000000,1779836360560000000,26734
Indexes.stubs.lookupDuration90PMs,1779836300495000000,1779836360560000000,0.0
Indexes.allKeys.lookupDuration90PMs,1779836300495000000,1779836360560000000,0.0
Indexing.totalTimeIndexersSleptMs,1779836300495000000,1779836360560000000,55301
Indexes.stubs.lookups,1779836300495000000,1779836360560000000,2252
Indexes.entries.lookupDurationMaxMs,1779836300495000000,1779836360560000000,0.0
Indexes.stubs.lookupDurationAvgMs,1779836300495000000,1779836360560000000,0.0
Indexes.entries.lookupDuration90PMs,1779836300495000000,1779836360560000000,0.0
Indexes.allKeys.lookups,1779836300495000000,1779836360560000000,0
Indexes.allKeys.lookupDurationMaxMs,1779836300495000000,1779836360560000000,0.0
Indexing.writesQueuedMin,1779836300495000000,1779836360560000000,9223372036854775807
Indexes.stubs.lookupDurationMaxMs,1779836300495000000,1779836360560000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1779836300495000000,1779836360560000000,0.0
cacheStateStorage.get.counter,1779836300495000000,1779836360560000000,13
cacheStateStorage.set.duration,1779836300495000000,1779836360560000000,290
cacheStateStorage.get.duration,1779836300495000000,1779836360560000000,0
cacheStateStorage.set.counter,1779836300495000000,1779836360560000000,46
workspaceModel.to.snapshot.ms,1779836300495000000,1779836360560000000,1
workspaceModel.loading.from.cache.ms,1779836300495000000,1779836360560000000,1
