# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.global.handle.changed.events.ms,1779898162938000000,1779898213466000000,0
jps.library.entities.serializer.load.entities.ms,1779898162938000000,1779898213466000000,130
workspaceModel.mutableEntityStorage.instances.count,1779898162938000000,1779898213466000000,49
workspaceModel.sync.entities.ms,1779898162938000000,1779898213466000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1779898162938000000,1779898213466000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1779898162938000000,1779898213466000000,609
jps.facet.change.listener.process.change.events.ms,1779898162938000000,1779898213466000000,8
jps.global.get.library.ms,1779898162938000000,1779898213466000000,0
jps.global.get.libraries.ms,1779898162938000000,1779898213466000000,0
workspaceModel.do.save.caches.ms,1779898162938000000,1779898213466000000,292
jps.app.storage.content.writer.save.component.ms,1779898162938000000,1779898213466000000,31
jps.global.initialize.library.bridges.after.loading.ms,1779898162938000000,1779898213466000000,2
workspaceModel.mutableEntityStorage.entities.by.source.ms,1779898162938000000,1779898213466000000,1
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1779898162938000000,1779898213466000000,102
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1779898162938000000,1779898213466000000,4
workspaceModel.mutableEntityStorage.resolve.ms,1779898162938000000,1779898213466000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1779898162938000000,1779898213466000000,2
workspaceModel.moduleManagerBridge.newModule.ms,1779898162938000000,1779898213466000000,0
jps.facet.change.listener.before.change.events.ms,1779898162938000000,1779898213466000000,0
jps.artifact.entities.serializer.save.entities.ms,1779898162938000000,1779898213466000000,0
jps.load.initial.state.ms,1779898162938000000,1779898213466000000,32
jps.reload.project.entities.ms,1779898162938000000,1779898213466000000,0
jps.global.handle.before.change.events.ms,1779898162938000000,1779898213466000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1779898162938000000,1779898213466000000,0
workspaceModel.moduleBridge.before.changed.ms,1779898162938000000,1779898213466000000,0
workspaceModel.moduleBridge.update.option.ms,1779898162938000000,1779898213466000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1779898162938000000,1779898213466000000,2
jps.module.iml.entities.serializer.load.entities.ms,1779898162938000000,1779898213466000000,127
jps.apply.loaded.storage.ms,1779898162938000000,1779898213466000000,114
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1779898162938000000,1779898213466000000,2
jps.artifact.entities.serializer.load.entities.ms,1779898162938000000,1779898213466000000,3
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1779898162938000000,1779898213466000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1779898162938000000,1779898213466000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1779898162938000000,1779898213466000000,41
workspaceModel.global.apply.state.to.project.ms,1779898162938000000,1779898213466000000,228
workspaceModel.global.updates.count,1779898162938000000,1779898213466000000,2
jps.facet.change.listener.init.bridge.ms,1779898162938000000,1779898213466000000,3
workspaceModel.moduleManagerBridge.load.module.ms,1779898162938000000,1779898213466000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1779898162938000000,1779898213466000000,159
jps.library.entities.serializer.save.entities.ms,1779898162938000000,1779898213466000000,0
lexer.Manifest.time.ns,1779898162938000000,1779898213466000000,567050
