# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.collect.changes.ms,1779836796391000000,1779836849036000000,6
jps.module.iml.entities.serializer.save.entities.ms,1779836796391000000,1779836849036000000,0
jps.global.initialize.library.bridges.ms,1779836796391000000,1779836849036000000,2
workspaceModel.global.apply.state.to.project.builder.ms,1779836796391000000,1779836849036000000,8
jps.global.get.library.by.name.ms,1779836796391000000,1779836849036000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1779836796391000000,1779836849036000000,43
workspaceModel.moduleManagerBridge.get.modules.ms,1779836796391000000,1779836849036000000,2
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1779836796391000000,1779836849036000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1779836796391000000,1779836849036000000,0
workspaceModel.save.cache.to.file.ms,1779836796391000000,1779836849036000000,695
jps.app.storage.content.writer.save.component.ms,1779836796391000000,1779836849036000000,64
workspaceModel.moduleBridgeLoader.loading.modules.ms,1779836796391000000,1779836849036000000,480
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1779836796391000000,1779836849036000000,6
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1779836796391000000,1779836849036000000,96
workspaceModel.mutableEntityStorage.entities.by.source.ms,1779836796391000000,1779836849036000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1779836796391000000,1779836849036000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1779836796391000000,1779836849036000000,51
jps.facet.change.listener.init.bridge.ms,1779836796391000000,1779836849036000000,3
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1779836796391000000,1779836849036000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1779836796391000000,1779836849036000000,142
workspaceModel.delayed.project.synchronizer.sync.ms,1779836796391000000,1779836849036000000,853
workspaceModel.moduleManagerBridge.build.module.graph.ms,1779836796391000000,1779836849036000000,5
workspaceModel.do.save.caches.ms,1779836796391000000,1779836849036000000,707
jps.load.initial.state.ms,1779836796391000000,1779836849036000000,42
workspaceModel.moduleBridge.facet.initialization.ms,1779836796391000000,1779836849036000000,280
jps.apply.loaded.storage.ms,1779836796391000000,1779836849036000000,445
workspaceModel.moduleManagerBridge.create.module.instance.ms,1779836796391000000,1779836849036000000,0
jps.library.entities.serializer.save.entities.ms,1779836796391000000,1779836849036000000,0
workspaceModel.load.cache.metadata.from.file.ms,1779836796391000000,1779836849036000000,28
jps.global.get.library.ms,1779836796391000000,1779836849036000000,0
workspaceModel.load.cache.from.file.ms,1779836796391000000,1779836849036000000,407
workspaceModel.global.updates.ms,1779836796391000000,1779836849036000000,193
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1779836796391000000,1779836849036000000,0
jps.artifact.entities.serializer.load.entities.ms,1779836796391000000,1779836849036000000,10
jps.project.serializers.load.ms,1779836796391000000,1779836849036000000,223
jps.global.initialize.library.bridges.after.loading.ms,1779836796391000000,1779836849036000000,2
jps.global.handle.changed.events.ms,1779836796391000000,1779836849036000000,0
workspaceModel.global.apply.state.to.project.ms,1779836796391000000,1779836849036000000,338
jps.storage.jps.conf.reader.load.component.ms,1779836796391000000,1779836849036000000,88
jps.project.serializers.save.ms,1779836796391000000,1779836849036000000,2
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1779836796391000000,1779836849036000000,4
jps.save.changed.project.entities.ms,1779836796391000000,1779836849036000000,2
jps.global.handle.before.change.events.ms,1779836796391000000,1779836849036000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1779836796391000000,1779836849036000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1779836796391000000,1779836849036000000,0
jps.artifact.entities.serializer.save.entities.ms,1779836796391000000,1779836849036000000,0
jps.app.storage.content.reader.load.component.ms,1779836796391000000,1779836849036000000,30
workspaceModel.moduleBridge.update.option.ms,1779836796391000000,1779836849036000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1779836796391000000,1779836849036000000,2
workspaceModel.moduleManagerBridge.newModule.ms,1779836796391000000,1779836849036000000,0
jps.facet.change.listener.process.change.events.ms,1779836796391000000,1779836849036000000,6
workspaceModel.moduleManagerBridge.load.module.ms,1779836796391000000,1779836849036000000,0
jps.save.global.entities.ms,1779836796391000000,1779836849036000000,135
workspaceModel.mutableEntityStorage.hasReferrers.ms,1779836796391000000,1779836849036000000,0
workspaceModel.mutableEntityStorage.entities.ms,1779836796391000000,1779836849036000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1779836796391000000,1779836849036000000,11
jps.module.iml.entities.serializer.load.entities.ms,1779836796391000000,1779836849036000000,95
jps.load.project.to.empty.storage.ms,1779836796391000000,1779836849036000000,392
workspaceModel.orphan.listener.update.ms,1779836796391000000,1779836849036000000,15
workspaceModel.global.updates.count,1779836796391000000,1779836849036000000,2
workspaceModel.mutableEntityStorage.instances.count,1779836796391000000,1779836849036000000,56
workspaceModel.mutableEntityStorage.modify.entity.ms,1779836796391000000,1779836849036000000,32
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1779836796391000000,1779836849036000000,1
jps.global.get.libraries.ms,1779836796391000000,1779836849036000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1779836796391000000,1779836849036000000,0
jps.library.entities.serializer.load.entities.ms,1779836796391000000,1779836849036000000,98
workspaceModel.sync.entities.ms,1779836796391000000,1779836849036000000,0
workspaceModel.moduleBridge.before.changed.ms,1779836796391000000,1779836849036000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1779836796391000000,1779836849036000000,0
jps.facet.change.listener.before.change.events.ms,1779836796391000000,1779836849036000000,0
jps.reload.project.entities.ms,1779836796391000000,1779836849036000000,20
workspaceModel.cachedValue.from.cache.count,1779836796391000000,1779836849036000000,6336
workspaceModel.cachedValueWithParameters.calculated.count,1779836796391000000,1779836849036000000,1
workspaceModel.workspaceFileIndexData.init.ms,1779836796391000000,1779836849036000000,166
workspaceModel.init.bridges.ms,1779836796391000000,1779836849036000000,8
workspaceModel.replace.project.model.ms,1779836796391000000,1779836849036000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1779836796391000000,1779836849036000000,0
workspaceModel.on.before.changed.ms,1779836796391000000,1779836849036000000,101
workspaceModel.cachedValueWithParameters.clear.count,1779836796391000000,1779836849036000000,0
workspaceModel.cachedValue.clear.count,1779836796391000000,1779836849036000000,0
workspaceModel.workspaceFileIndexData.instances.count,1779836796391000000,1779836849036000000,1
workspaceModel.loading.from.cache.ms,1779836796391000000,1779836849036000000,140
workspaceModel.cachedValue.calculated.count,1779836796391000000,1779836849036000000,320
workspaceModel.pre.handlers.ms,1779836796391000000,1779836849036000000,2
workspaceModel.entityStorageSnapshotImpl.instances.count,1779836796391000000,1779836849036000000,37
workspaceModel.update.unloaded.entities.ms,1779836796391000000,1779836849036000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1779836796391000000,1779836849036000000,338
workspaceModel.updates.ms,1779836796391000000,1779836849036000000,329
workspaceModel.to.snapshot.ms,1779836796391000000,1779836849036000000,1
workspaceModel.initializing.ms,1779836796391000000,1779836849036000000,7
workspaceModel.cachedValue.total.get.count,1779836796391000000,1779836849036000000,6656
workspaceModel.check.recursive.update.ms,1779836796391000000,1779836849036000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1779836796391000000,1779836849036000000,0
workspaceModel.full.replace.project.model.ms,1779836796391000000,1779836849036000000,48
workspaceModel.updates.precise.ms,1779836796391000000,1779836849036000000,46
workspaceModel.workspaceFileIndexData.processFileSets.ms,1779836796391000000,1779836849036000000,0
workspaceModel.updates.count,1779836796391000000,1779836849036000000,7
workspaceModel.cachedValueWithParameters.from.cache.count,1779836796391000000,1779836849036000000,124
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1779836796391000000,1779836849036000000,2529
workspaceModel.collect.changes.ms,1779836796391000000,1779836849036000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1779836796391000000,1779836849036000000,117
workspaceModel.on.changed.ms,1779836796391000000,1779836849036000000,170
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1779836796391000000,1779836849036000000,33
workspaceModel.cachedValueWithParameters.total.get.count,1779836796391000000,1779836849036000000,125
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1779836796391000000,1779836849036000000,103
workspaceModel.workspaceFileIndexData.getPackageName.ms,1779836796391000000,1779836849036000000,63
workspaceModel.loading.total.ms,1779836796391000000,1779836849036000000,151
JVM.totalCpuTimeMs,1779836796391000000,1779836849036000000,171390
JVM.GC.collectionTimesMs,1779836796391000000,1779836849036000000,902
JVM.maxThreadCount,1779836796391000000,1779836849036000000,199
JVM.usedHeapBytes,1779836796391000000,1779836849036000000,341095328
JVM.GC.collections,1779836796391000000,1779836849036000000,52
JVM.totalTimeToSafepointsMs,1779836796391000000,1779836849036000000,22
MEM.ramBytes,1779836796391000000,1779836849036000000,1656569856
JVM.committedHeapBytes,1779836796391000000,1779836849036000000,478150656
MEM.ramPlusSwapMinusFileMappingsBytes,1779836796391000000,1779836849036000000,1181691904
MEM.ramMinusFileMappingsBytes,1779836796391000000,1779836849036000000,1181691904
JVM.totalTimeAtSafepointsMs,1779836796391000000,1779836849036000000,962
JVM.threadCount,1779836796391000000,1779836849036000000,71
JVM.maxHeapBytes,1779836796391000000,1779836849036000000,11584667648
JVM.totalDirectByteBuffersBytes,1779836796391000000,1779836849036000000,41943041
JVM.usedNativeBytes,1779836796391000000,1779836849036000000,334436224
JVM.totalBytesAllocated,1779836796391000000,1779836849036000000,2827442600
JVM.newThreadsCount,1779836796391000000,1779836849036000000,321
OS.loadAverage,1779836796391000000,1779836849036000000,8.41455078125
JVM.totalSafepointCount,1779836796391000000,1779836849036000000,62
MEM.fileMappingsRamBytes,1779836796391000000,1779836849036000000,474877952
DirectByteBufferAllocator.misses,1779836796391000000,1779836849036000000,211
FileChannelInterruptsRetryer.totalRetriedAttempts,1779836796391000000,1779836849036000000,0
StorageLockContext.competingThreads.max,1779836796391000000,1779836849036000000,0
StorageLockContext.competingThreads.avg,1779836796391000000,1779836849036000000,0.0
