# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
lexer.JAVA.size.bytes,1779891780896000000,1779891833019000000,1379260
writeAction.wait.ms,1779891780896000000,1779891833019000000,86
writeAction.median.wait.ms,1779891780896000000,1779891833019000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1779891780896000000,1779891833019000000,2337488
parser.XML.size.bytes,1779891780896000000,1779891833019000000,17108
parser.JAVA.size.bytes,1779891780896000000,1779891833019000000,1475832
lexer.IgnoreLang.size.bytes,1779891780896000000,1779891833019000000,12
parser.JSON.size.bytes,1779891780896000000,1779891833019000000,104
lexer.Manifest.size.bytes,1779891780896000000,1779891833019000000,1665
parser.HTML.time.ns,1779891780896000000,1779891833019000000,932310047
LowMemory.gcOverloaded,1779891780896000000,1779891833019000000,0
DiskQueryRelay.tasksExecuted,1779891780896000000,1779891833019000000,722
parser.JSON.time.ns,1779891780896000000,1779891833019000000,14
parser.Properties.size.bytes,1779891780896000000,1779891833019000000,5718
lexer.JAVA.time.ns,1779891780896000000,1779891833019000000,60726379
lexer.HTML.size.bytes,1779891780896000000,1779891833019000000,585244
lexer.Properties.size.bytes,1779891780896000000,1779891833019000000,5718
lexer.XHTML.time.ns,1779891780896000000,1779891833019000000,22535239
lexer.XHTML.size.bytes,1779891780896000000,1779891833019000000,6093
parser.XHTML.size.bytes,1779891780896000000,1779891833019000000,6093
lexer.IgnoreLang.time.ns,1779891780896000000,1779891833019000000,205646
lexer.Manifest.time.ns,1779891780896000000,1779891833019000000,632487
parser.HTML.size.bytes,1779891780896000000,1779891833019000000,585244
parser.Manifest.time.ns,1779891780896000000,1779891833019000000,13002602
lexer.JSON.time.ns,1779891780896000000,1779891833019000000,56786476
parser.XHTML.time.ns,1779891780896000000,1779891833019000000,11312045
parser.IgnoreLang.size.bytes,1779891780896000000,1779891833019000000,12
writeAction.count,1779891780896000000,1779891833019000000,19
DiskQueryRelay.taskExecutionTotalTimeUs,1779891780896000000,1779891833019000000,2136850
DiskQueryRelay.tasksRequested,1779891780896000000,1779891833019000000,724
lexer.XML.size.bytes,1779891780896000000,1779891833019000000,17108
lexer.Properties.time.ns,1779891780896000000,1779891833019000000,8171774
parser.JAVA.time.ns,1779891780896000000,1779891833019000000,1487389373
parser.XML.time.ns,1779891780896000000,1779891833019000000,86
parser.Properties.time.ns,1779891780896000000,1779891833019000000,18960415
parser.IgnoreLang.time.ns,1779891780896000000,1779891833019000000,18325736
writeAction.max.wait.ms,1779891780896000000,1779891833019000000,72
lexer.HTML.time.ns,1779891780896000000,1779891833019000000,600738992
lexer.XML.time.ns,1779891780896000000,1779891833019000000,9274027
lexer.JSON.size.bytes,1779891780896000000,1779891833019000000,434968
parser.Manifest.size.bytes,1779891780896000000,1779891833019000000,1665
LowMemory.gcLoad,1779891780896000000,1779891833019000000,0.0
