Inspection ID;Inspection Group;Inspection Name;Inspection Language;Inspection Type;Absolute Time spent on Inspection, s;Percent of Time spent on Inspection;Problems Count;Times Inspection was Performed
StringOperationCanBeSimplified;Java/Verbose or redundant code constructs;Redundant 'String' operation;JAVA;LOCAL;0.01;0.12%;0;6
CatchMayIgnoreException;Java/Error handling;Catch block may ignore exception;JAVA;LOCAL;0.00;0.11%;0;6
DifferentKotlinMavenVersion;Kotlin;Maven and IDE plugins versions are different;XML;LOCAL;0.00;0.11%;0;34
UnnecessaryStringEscape;Java/Verbose or redundant code constructs;Unnecessarily escaped character;JAVA;LOCAL;0.00;0.10%;0;6
InstantiatingAThreadWithDefaultRunMethod;Java/Threading issues;Instantiating a 'Thread' with default 'run()' method;JAVA;LOCAL;0.00;0.09%;0;6
dependsOnMethodTestNG;Java/TestNG;Illegal method name passed to 'dependsOnMethods';JAVA;LOCAL;0.00;0.09%;0;6
DifferentMavenStdlibVersion;Kotlin;Library and maven plugin versions are different;XML;LOCAL;0.00;0.08%;0;34
FieldMayBeFinal;Java/Code style issues;Field may be 'final';JAVA;LOCAL;0.00;0.08%;0;6
UrlHashCode;JVM languages;Call to 'equals()' or 'hashCode()' on 'URL' object;UAST;LOCAL;0.00;0.08%;0;6
DefaultAnnotationParam;Java/Declaration redundancy;Default annotation parameter value;JAVA;LOCAL;0.00;0.08%;0;6
WrongPackageStatement;Java/Probable bugs;Wrong package statement;JAVA;LOCAL;0.00;0.08%;0;6
PointlessBooleanExpression;Java/Control flow issues;Pointless boolean expression;JAVA;LOCAL;0.00;0.08%;0;6
ParameterCanBeLocal;Java/Class structure;Value passed as parameter never read;JAVA;LOCAL;0.00;0.07%;0;6
BoxingBoxedValue;Java/Performance;Boxing of already boxed value;JAVA;LOCAL;0.00;0.07%;0;6
LongLiteralEndingWithLowercaseL;Java/Numeric issues;'long' literal ending with 'l' instead of 'L';JAVA;LOCAL;0.00;0.06%;0;6
AtomicFieldUpdaterNotStaticFinal;Java/Threading issues;'AtomicFieldUpdater' field not declared 'static final';JAVA;LOCAL;0.00;0.06%;0;6
WrapperTypeMayBePrimitive;Java/Performance;Wrapper type may be primitive;JAVA;LOCAL;0.00;0.06%;0;6
RedundantFileCreation;Java/Verbose or redundant code constructs;Redundant 'File' instance creation;JAVA;LOCAL;0.00;0.06%;0;6
SlowListContainsAll;Java/Performance;Call to 'list.containsAll(collection)' may have poor performance;JAVA;LOCAL;0.00;0.06%;0;6
StringConcatenationInsideStringBufferAppend;Java/Performance;String concatenation as argument to 'StringBuilder.append()' call;JAVA;LOCAL;0.00;0.06%;0;6
OptionalAssignedToNull;Java/Code maturity;Null value for Optional type;JAVA;LOCAL;0.00;0.05%;0;6
UnsatisfiedRange;Java/Probable bugs;Return value is outside of declared range;JAVA;LOCAL;0.00;0.05%;0;6
LoggingStringTemplateAsArgument;JVM languages/Logging;String template as argument to logging call;UAST;LOCAL;0.00;0.05%;0;6
WaitWhileHoldingTwoLocks;Java/Threading issues;'wait()' while holding two locks;JAVA;LOCAL;0.00;0.05%;0;6
groupsTestNG;Java/TestNG;Undefined group name;JAVA;LOCAL;0.00;0.05%;0;6
MalformedFormatString;Java/Probable bugs;Malformed format string;JAVA;LOCAL;0.00;0.05%;0;6
ConfusingArgumentToVarargsMethod;Java/Probable bugs;Confusing argument to varargs method;JAVA;LOCAL;0.00;0.04%;0;6
SerializableRecordContainsIgnoredMembers;Java/Serialization issues;'record' contains ignored members;JAVA;LOCAL;0.00;0.04%;0;6
AssignmentToCatchBlockParameter;Java/Assignment issues;Assignment to 'catch' block parameter;JAVA;LOCAL;0.00;0.04%;0;6
SafeVarargsOnNonReifiableType;Java/Declaration redundancy;@SafeVarargs is not applicable to reifiable types;JAVA;LOCAL;0.00;0.04%;0;6
AssignmentUsedAsCondition;Java/Assignment issues;Assignment used as condition;JAVA;LOCAL;0.00;0.04%;0;6
RedundantIfStatement;Java/Control flow issues;Redundant 'if' statement;JAVA;LOCAL;0.00;0.04%;0;6
UnnecessaryUnicodeEscape;Java/Internationalization;Unnecessary Unicode escape sequence;JAVA;LOCAL;0.00;0.04%;0;6
ImplicitSubclassInspection;Java/Inheritance issues;Final declaration can't be overridden at runtime;UAST;LOCAL;0.00;0.04%;0;6
AssertBetweenInconvertibleTypes;JVM languages/Test frameworks;'assertEquals()' between objects of inconvertible types;UAST;LOCAL;0.00;0.03%;0;6
NotNullFieldNotInitialized;Java/Probable bugs/Nullability problems;@NotNull field is not initialized;JAVA;LOCAL;0.00;0.03%;0;6
ExpressionComparedToItself;Java/Probable bugs;Expression is compared to itself;JAVA;LOCAL;0.00;0.03%;0;6
UnsupportedCharacter;Java/Properties files;Unsupported character;UAST;LOCAL;0.00;0.03%;0;6
SizeReplaceableByIsEmpty;Java/Code style issues;'size() == 0' can be replaced with 'isEmpty()';JAVA;LOCAL;0.00;0.03%;0;6
NonAtomicOperationOnVolatileField;Java/Threading issues;Non-atomic operation on 'volatile' field;JAVA;LOCAL;0.00;0.03%;0;6
UnnecessaryModifier;Java/Code style issues;Unnecessary modifier;JAVA;LOCAL;0.00;0.03%;0;6
SuspiciousDateFormat;Java/Probable bugs;Suspicious date format pattern;JAVA;LOCAL;0.00;0.03%;0;6
EscapedSpace;Java/Code style issues;Non-terminal use of '\s' escape sequence;JAVA;LOCAL;0.00;0.03%;0;6
UnreachableCatch;Java/Verbose or redundant code constructs;Unreachable catch section;JAVA;LOCAL;0.00;0.03%;0;6
RedundantClassCall;Java/Verbose or redundant code constructs;Redundant 'isInstance()' or 'cast()' call;JAVA;LOCAL;0.00;0.03%;0;6
JavaLangInvokeHandleSignature;Java/Reflective access;MethodHandle/VarHandle type mismatch;JAVA;LOCAL;0.00;0.03%;0;6
IfStatementWithIdenticalBranches;Java/Control flow issues;'if' statement with identical branches or common parts;JAVA;LOCAL;0.00;0.03%;0;6
Java9UndeclaredServiceUsage;Java/Visibility;Usage of service not declared in 'module-info';JAVA;LOCAL;0.00;0.03%;0;6
CStyleArrayDeclaration;Java/Code style issues;C-style array declaration;JAVA;LOCAL;0.00;0.03%;0;6
CallToPrintStackTrace;Java/Code maturity;Call to 'printStackTrace()';JAVA;LOCAL;0.00;0.03%;0;6
SimplifyStreamApiCallChains;Java/Verbose or redundant code constructs;Stream API call chain can be simplified;JAVA;LOCAL;0.00;0.03%;0;6
DuplicateCondition;Java/Control flow issues;Duplicate condition;JAVA;LOCAL;0.00;0.02%;0;6
InconsistentTextBlockIndent;Java/Probable bugs;Inconsistent whitespace indentation in text block;JAVA;LOCAL;0.00;0.02%;0;6
ThrowablePrintedToSystemOut;Java/Code maturity;'Throwable' printed to 'System.out';JAVA;LOCAL;0.00;0.02%;0;6
OptionalIsPresent;Java/Code style issues;Non functional style 'Optional.isPresent()' usage;JAVA;LOCAL;0.00;0.02%;0;6
CloneDoesntDeclareCloneNotSupportedException;Java/Cloning issues;'clone()' does not declare 'CloneNotSupportedException';JAVA;LOCAL;0.00;0.02%;0;6
