Inspection ID;Inspection Group;Inspection Name;Inspection Language;Inspection Type;Absolute Time spent on Inspection, s;Percent of Time spent on Inspection;Problems Count;Times Inspection was Performed
TypeParameterHidesVisibleType;Java/Visibility;Type parameter hides visible type;JAVA;LOCAL;0.00;0.00%;0;6
UnnecessaryCallToStringValueOf;Java/Code style issues;Unnecessary conversion to 'String';JAVA;LOCAL;0.00;0.00%;0;6
JavaReflectionMemberAccess;Java/Reflective access;Reflective access to non-existent or not visible class member;JAVA;LOCAL;0.00;0.00%;0;6
MaskedAssertion;Java/Test frameworks;Assertion is suppressed by 'catch';JAVA;LOCAL;0.00;0.00%;0;6
ReflectionForUnavailableAnnotation;Java/Probable bugs;Reflective access to a source-only annotation;JAVA;LOCAL;0.00;0.00%;0;6
ReplaceOnLiteralHasNoEffect;Java/Verbose or redundant code constructs;Replacement operation has no effect;JAVA;LOCAL;0.00;0.00%;0;6
ShiftOutOfRange;Java/Bitwise operation issues;Shift operation by inappropriate constant;JAVA;LOCAL;0.00;0.00%;0;6
ProtectedMemberInFinalClass;Java/Declaration redundancy;'protected' member in 'final' class;JAVA;LOCAL;0.00;0.00%;0;6
IterableUsedAsVararg;Java/Probable bugs;Iterable is used as vararg;JAVA;LOCAL;0.00;0.00%;0;6
DanglingJavadoc;Java/Javadoc;Dangling Javadoc comment;JAVA;LOCAL;0.00;0.00%;0;6
UnusedLabel;Java/Declaration redundancy;Unused label;JAVA;LOCAL;0.00;0.00%;0;6
UnnecessaryInitCause;Java/Error handling;Unnecessary call to 'Throwable.initCause()';JAVA;LOCAL;0.00;0.00%;0;6
ComparisonOfShortAndChar;Java/Numeric issues;Comparison of 'short' and 'char' values;JAVA;LOCAL;0.00;0.00%;0;6
JavadocDeclaration;Java/Javadoc;Javadoc declaration problems;JAVA;LOCAL;0.00;0.00%;0;6
UnnecessaryBreak;Java/Verbose or redundant code constructs;Unnecessary 'break' statement;JAVA;LOCAL;0.00;0.00%;0;6
CaughtExceptionImmediatelyRethrown;Java/Error handling;Caught exception is immediately rethrown;JAVA;LOCAL;0.00;0.00%;0;6
TrailingWhitespacesInTextBlock;Java/Code style issues;Trailing whitespace in text block;JAVA;LOCAL;0.00;0.00%;0;6
UnpredictableBigDecimalConstructorCall;Java/Numeric issues;Unpredictable 'BigDecimal' constructor call;JAVA;LOCAL;0.00;0.00%;0;6
UnnecessaryTemporaryOnConversionToString;Java/Performance;Unnecessary temporary object in conversion to 'String';JAVA;LOCAL;0.00;0.00%;0;6
ArrayHashCode;Java/Probable bugs;'hashCode()' called on array;JAVA;LOCAL;0.00;0.00%;0;6
ArraysAsListWithZeroOrOneArgument;Java/Performance;Call to 'Arrays.asList()' with too few arguments;JAVA;LOCAL;0.00;0.00%;0;6
StringEquality;Java/Probable bugs;String comparison using '==', instead of 'equals()';JAVA;LOCAL;0.00;0.00%;0;6
ConditionalBreakInInfiniteLoop;Java/Control flow issues;Conditional break inside loop;JAVA;LOCAL;0.00;0.00%;0;6
ClassGetClass;Java/Probable bugs;Suspicious 'Class.getClass()' call;JAVA;LOCAL;0.00;0.00%;0;6
UnnecessaryLabelOnBreakStatement;Java/Verbose or redundant code constructs;Unnecessary label on 'break' statement;JAVA;LOCAL;0.00;0.00%;0;6
UnnecessaryLabelOnContinueStatement;Java/Verbose or redundant code constructs;Unnecessary label on 'continue' statement;JAVA;LOCAL;0.00;0.00%;0;6
ManualArrayCopy;Java/Performance;Manual array copy;JAVA;LOCAL;0.00;0.00%;0;6
NonFinalFieldInEnum;Java/Class structure;Non-final field in 'enum';JAVA;LOCAL;0.00;0.00%;0;6
SuspiciousListRemoveInLoop;Java/Probable bugs;Suspicious 'List.remove()' in loop;JAVA;LOCAL;0.00;0.00%;0;6
JavadocLinkAsPlainText;Java/Javadoc;Link specified as plain text;JAVA;LOCAL;0.00;0.00%;0;6
WhileCanBeDoWhile;Java/Control flow issues;'while' can be replaced with 'do while';JAVA;LOCAL;0.00;0.00%;0;6
FinalizeNotProtected;Java/Finalization;'finalize()' should be protected, not public;JAVA;LOCAL;0.00;0.00%;0;6
WhileLoopSpinsOnField;Java/Threading issues;'while' loop spins on field;JAVA;LOCAL;0.00;0.00%;0;6
BooleanConstructorCall;Java/Performance;Boolean constructor call;JAVA;LOCAL;0.00;0.00%;0;6
InfiniteLoopStatement;Java/Control flow issues;Infinite loop statement;JAVA;LOCAL;0.00;0.00%;0;6
ReplaceAllNonRegex;Java/Performance;Non-regex 'replaceAll()' can be replaced with 'replace()';JAVA;LOCAL;0.00;0.00%;0;6
FinalizeCalledExplicitly;Java/Finalization;'finalize()' called explicitly;JAVA;LOCAL;0.00;0.00%;0;6
SlowAbstractSetRemoveAll;Java/Performance;Call to 'set.removeAll(list)' may work slowly;JAVA;LOCAL;0.00;0.00%;0;6
SuspiciousRegexArgument;Java/Probable bugs;Suspicious regex expression argument;JAVA;LOCAL;0.00;0.00%;0;6
RedundantUnmodifiable;Java/Verbose or redundant code constructs;Redundant usage of unmodifiable collection wrappers;JAVA;LOCAL;0.00;0.00%;0;6
LoopStatementThatDoesntLoop;Java/Control flow issues;Loop statement that does not loop;JAVA;LOCAL;0.00;0.00%;0;6
ConstantConditionalExpression;Java/Control flow issues;Constant conditional expression;JAVA;LOCAL;0.00;0.00%;0;6
RedundantLabeledSwitchRuleCodeBlock;Java/Code style issues;Labeled switch rule has redundant code block;JAVA;LOCAL;0.00;0.00%;0;6
OverflowingLoopIndex;Java/Probable bugs;Loop executes zero or billions of times;JAVA;LOCAL;0.00;0.00%;0;6
InnerClassMayBeStatic;Java/Memory;Inner class may be 'static';JAVA;LOCAL;0.00;0.00%;0;6
ComparisonToNaN;Java/Numeric issues;Comparison to 'Double.NaN' or 'Float.NaN';JAVA;LOCAL;0.00;0.00%;0;6
MetaAnnotationWithoutRuntimeRetention;Java/JUnit;Test annotation without '@Retention(RUNTIME)' annotation;JAVA;LOCAL;0.00;0.00%;0;6
PatternVariableHidesField;Java/Visibility;Pattern variable hides field;JAVA;LOCAL;0.00;0.00%;0;6
EmptyClassInitializer;Java/Declaration redundancy;Empty class initializer;JAVA;LOCAL;0.00;0.00%;0;6
CachedNumberConstructorCall;Java/Numeric issues;Number constructor call with primitive argument;JAVA;LOCAL;0.00;0.00%;0;6
UnnecessaryContinue;Java/Verbose or redundant code constructs;Unnecessary 'continue' statement;JAVA;LOCAL;0.00;0.00%;0;6
BigDecimalMethodWithoutRoundingCalled;Java/Numeric issues;Call to 'BigDecimal' method without a rounding mode argument;JAVA;LOCAL;0.00;0.00%;0;6
PointlessArithmeticExpression;Java/Numeric issues;Pointless arithmetic expression;JAVA;LOCAL;0.00;0.00%;0;6
FinalMethodInFinalClass;Java/Declaration redundancy;'final' method in 'final' class;JAVA;LOCAL;0.00;0.00%;0;6
FinalPrivateMethod;Java/Class structure;'private' method declared 'final';JAVA;LOCAL;0.00;0.00%;0;6
ContinueOrBreakFromFinallyBlock;Java/Error handling;'continue' or 'break' inside 'finally' block;JAVA;LOCAL;0.00;0.00%;0;6
ExplicitArrayFilling;Java/Verbose or redundant code constructs;Explicit array filling;JAVA;LOCAL;0.00;0.00%;0;6
lossy-conversions;Java/Numeric issues;Possibly lossy implicit cast in compound assignment;JAVA;LOCAL;0.00;0.00%;0;6
ListRemoveInLoop;Java/Performance;'List.remove()' called in loop;JAVA;LOCAL;0.00;0.00%;0;6
IteratorHasNextCallsIteratorNext;Java/Probable bugs;'Iterator.hasNext()' which calls 'next()';JAVA;LOCAL;0.00;0.00%;0;6
MathRoundingWithIntArgument;Java/Probable bugs;Call math rounding with 'int' argument;JAVA;LOCAL;0.00;0.00%;0;6
StringConcatenationArgumentToLogCall;Java/Logging;Non-constant string concatenation as argument to logging call;JAVA;LOCAL;0.00;0.00%;0;6
JavadocReference;Java/Javadoc;Declaration has problems in Javadoc references;JAVA;LOCAL;0.00;0.00%;0;6
UnaryPlus;Java/Numeric issues;Unary plus;JAVA;LOCAL;0.00;0.00%;0;6
InterfaceMethodClashesWithObject;Java/Abstraction issues;Interface method clashes with method in 'Object';JAVA;LOCAL;0.00;0.00%;0;6
RedundantEscapeInRegexReplacement;Java/Verbose or redundant code constructs;Redundant escape in regex replacement string;JAVA;LOCAL;0.00;0.00%;0;6
ComparatorResultComparison;Java/Probable bugs;Suspicious usage of compare method;JAVA;LOCAL;0.00;0.00%;0;6
ListIndexOfReplaceableByContains;Java/Code style issues;'List.indexOf()' expression can be replaced with 'contains()';JAVA;LOCAL;0.00;0.00%;0;6
NonStrictComparisonCanBeEquality;Java/Verbose or redundant code constructs;Non-strict inequality '>=' or '<=' can be replaced with '==';JAVA;LOCAL;0.00;0.00%;0;6
SuspiciousToArrayCall;Java/Probable bugs;Suspicious 'Collection.toArray()' call;JAVA;LOCAL;0.00;0.00%;0;6
divzero;Java/Numeric issues;Division by zero;JAVA;LOCAL;0.00;0.00%;0;6
SimplifyCollector;Java/Verbose or redundant code constructs;Simplifiable collector;JAVA;LOCAL;0.00;0.00%;0;6
SuspiciousArrayMethodCall;Java/Probable bugs;Suspicious 'Arrays' method call;JAVA;LOCAL;0.00;0.00%;0;6
SynchronizationOnLocalVariableOrMethodParameter;Java/Threading issues;Synchronization on local variable or method parameter;JAVA;LOCAL;0.00;0.00%;0;6
BusyWait;Java/Threading issues;Busy wait;JAVA;LOCAL;0.00;0.00%;0;6
MethodNameSameAsClassName;Java/Naming conventions/Method;Method name same as class name;JAVA;LOCAL;0.00;0.00%;0;6
OverwrittenKey;Java/Probable bugs;Overwritten Map, Set, or array element;JAVA;LOCAL;0.00;0.00%;0;6
SuspiciousIntegerDivAssignment;Java/Probable bugs;Suspicious integer division assignment;JAVA;LOCAL;0.00;0.00%;0;6
OptionalOfNullableMisuse;Java/Probable bugs;Use of Optional.ofNullable with null or non-null argument;JAVA;LOCAL;0.00;0.00%;0;6
StringBufferReplaceableByString;Java/Verbose or redundant code constructs;'StringBuilder' can be replaced with 'String';JAVA;LOCAL;0.00;0.00%;0;6
SimplifiableConditionalExpression;Java/Control flow issues;Simplifiable conditional expression;JAVA;LOCAL;0.00;0.00%;0;6
IfStatementMissingBreakInLoop;Java/Performance;Early loop exit in 'if' condition;JAVA;LOCAL;0.00;0.00%;0;6
FunctionalExpressionCanBeFolded;Java/Declaration redundancy;Functional expression can be folded;JAVA;LOCAL;0.00;0.00%;0;6
EqualsOnSuspiciousObject;Java/Probable bugs;'equals()' called on classes which don't override it;JAVA;LOCAL;0.00;0.00%;0;6
EndlessStream;Java/Probable bugs;Non-short-circuit operation consumes infinite stream;JAVA;LOCAL;0.00;0.00%;0;6
FuseStreamOperations;Java/Code style issues;Subsequent steps can be fused into Stream API chain;JAVA;LOCAL;0.00;0.00%;0;6
PointlessNullCheck;Java/Control flow issues;Unnecessary 'null' check before method call;JAVA;LOCAL;0.00;0.00%;0;6
DefaultNotLastCaseInSwitch;Java/Control flow issues;'default' not last case in 'switch';JAVA;LOCAL;0.00;0.00%;0;6
ArrayEquals;Java/Probable bugs;'equals()' called on array;JAVA;LOCAL;0.00;0.00%;0;6
RedundantComparatorComparing;Java/Verbose or redundant code constructs;Comparator method can be simplified;JAVA;LOCAL;0.00;0.00%;0;6
SwitchStatementWithTooFewBranches;Java/Control flow issues;Minimum 'switch' branches;JAVA;LOCAL;0.00;0.00%;0;6
CollectionAddAllCanBeReplacedWithConstructor;Java/Performance;Redundant 'Collection.addAll()' call;JAVA;LOCAL;0.00;0.00%;0;6
AtomicFieldUpdaterIssues;Java/Threading issues;Inconsistent 'AtomicFieldUpdater' declaration;JAVA;LOCAL;0.00;0.00%;0;6
IncorrectDateTimeFormat;Java/Probable bugs;Incorrect 'DateTimeFormat' pattern;JAVA;LOCAL;0.00;0.00%;0;6
SynchronizeOnNonFinalField;Java/Threading issues;Synchronization on a non-final field;JAVA;LOCAL;0.00;0.00%;0;6
MalformedDataProvider;Java/TestNG;Data provider problems;JAVA;LOCAL;0.00;0.00%;0;6
MeaninglessRecordAnnotationInspection;Java/Probable bugs;Meaningless record annotation;JAVA;LOCAL;0.00;0.00%;0;6
OctalInteger;Java/Numeric issues;Octal integer;JAVA;LOCAL;0.00;0.00%;0;6
synchronization;Java/Compiler issues;Value-based warnings;JAVA;LOCAL;0.00;0.00%;0;6
CapturingCleaner;Java/Probable bugs;Cleaner captures object reference;JAVA;LOCAL;0.00;0.00%;0;6
InvalidComparatorMethodReference;Java/Probable bugs;Invalid method reference used for 'Comparator';JAVA;LOCAL;0.00;0.00%;0;6
